Transcript Of Moving Black From Starting State Using MaximumCaptureStrategy

Position[q=-2, r=0, s=2]
Position[q=-2, r=1, s=1]
Position[q=-2, r=2, s=0]
Position[q=-1, r=-1, s=2]
Position[q=-1, r=0, s=1]
Position[q=-1, r=1, s=0]
Position[q=-1, r=2, s=-1]
Position[q=0, r=-2, s=2]
Position[q=0, r=-1, s=1]
Position[q=0, r=0, s=0]
Position[q=0, r=1, s=-1]
Position[q=0, r=2, s=-2]
Position[q=1, r=-2, s=1]
Position[q=1, r=-1, s=0]
Position[q=1, r=0, s=-1]
Position[q=1, r=1, s=-2]
Position[q=2, r=-2, s=0]
Position[q=2, r=-1, s=-1]
Position[q=2, r=0, s=-2]
